archive_path,filename,file_type,size_bytes,sha256,exam_board,subject,level,syllabus_code,year_edition,likely_category
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/Economics/Cambridge International AS _ A Level Economics Workbook.pdf,Cambridge International AS _ A Level Economics Workbook.pdf,PDF,5859548,3e55d6ab0b97db60594057d67238d1656bc9f375fec172e1fe649ed6f43ab062,Cambridge International,Economics,Cambridge International AS & A Level,Unknown,Unknown,Workbook / practice
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/English Language/English Language.pdf,English Language.pdf,PDF,82885219,9d385bf2b638afa6bf8da68d0ec33587c40164045641cd6caeafebfc19a3d285,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Unknown
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 1.1 Textbook Answers.pdf,Chapter 1.1 Textbook Answers.pdf,PDF,491591,f641ace7335b13c8f5b63c1b79e1290a72258888d5093f187017de2d018a6996,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 1.2 Textbook Answers.pdf,Chapter 1.2 Textbook Answers.pdf,PDF,534462,e605d41f1470e8080051294e7ced397a696df73e724f59dd2509bc7603ad8744,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 1.3 Textbook Answers.pdf,Chapter 1.3 Textbook Answers.pdf,PDF,601745,c73ed03bc403c045308a54952904feda633ceb34bc28e7049cce30439e7a5c28,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 2.1 Textbook Answers.pdf,Chapter 2.1 Textbook Answers.pdf,PDF,794085,602aa9a5c22786cb2f6fe65d8d6bb06c77e5650b17cae69ac7e13dc7a63bb767,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 2.2 Textbook Answers.pdf,Chapter 2.2 Textbook Answers.pdf,PDF,509036,f5d2b7cd62cf95027e20235d72ce3a9efabdc8dc553703ba682232ee2870ba80,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 2.3 Textbook Answers.pdf,Chapter 2.3 Textbook Answers.pdf,PDF,103871,214666355b24191e8bc830d339f769cc60fa4bfe1ecbfd1cdc821cf708221689,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 3.1 Textbook Answers.pdf,Chapter 3.1 Textbook Answers.pdf,PDF,559222,a970b8cd72967e7b2ca244cef45106686d3791d72ea4880c9317f96cfd9427da,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 3.2 Textbook Answers.pdf,Chapter 3.2 Textbook Answers.pdf,PDF,538106,eb5478da505d9b50abe1cba25fef6ae5a72c13272e58899f57043852b59c158c,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 3.3 Textbook Answers.pdf,Chapter 3.3 Textbook Answers.pdf,PDF,609377,cfad58725ec308bad34cafe3ee28209f48120dae3f76b213786e3494af6e548a,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 4.1 Textbook Answers.pdf,Chapter 4.1 Textbook Answers.pdf,PDF,495921,8a67f2ce5735c6cf2ad784bb19a4614c348bed0828ca7f3c99b67fc56d662e51,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 4.2 Textbook Answers.pdf,Chapter 4.2 Textbook Answers.pdf,PDF,606306,9460833e5b4e9828fdf833f4084978f0c29ef8017ff7a292f2f0e9c7d689cda9,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
E-Library-20260722T233918Z-1-001/E-Library/AS and A Level/E Books/General English/English Coursebook Answers/Chapter 4.3 Textbook Answers.pdf,Chapter 4.3 Textbook Answers.pdf,PDF,511161,dc0650190a7d6838e8941db348fe53e227159d086908f13c4692544ec8d585ab,Unknown,English,Cambridge International AS & A Level,Unknown,Unknown,Answer key / worked solutions
